1017 Statistic "clientsCount":  279
┌─────────┬─────────┬───────────┬──────────┬──────────┐
│ (index) │   rss   │ heapTotal │ heapUsed │ external │
├─────────┼─────────┼───────────┼──────────┼──────────┤
│    0    │  36.77  │  11.215   │  6.535   │  1.346   │
│    1    │ 35.332  │   7.934   │   5.97   │   1.36   │
│    2    │ 35.901  │   8.458   │  6.395   │   1.36   │
│    3    │ 36.708  │   8.72    │  6.789   │   1.36   │
│    4    │ 37.659  │   9.245   │  7.611   │   1.36   │
│    5    │ 38.056  │   9.507   │  8.002   │  1.364   │
│    6    │ 38.584  │  10.031   │   8.47   │  1.364   │
│    7    │ 40.419  │  10.818   │  9.013   │  1.364   │
│    8    │  40.8   │  11.342   │  9.374   │  1.364   │
│    9    │ 41.812  │  12.128   │  10.317  │  1.364   │
│   10    │ 43.012  │  12.915   │  11.365  │  1.368   │
│   11    │  43.86  │  13.701   │  12.204  │  1.368   │
│   12    │ 44.216  │  13.963   │  12.507  │  1.368   │
│   13    │ 44.564  │   14.75   │  12.863  │  1.368   │
│   14    │ 45.855  │  15.536   │  14.117  │  1.368   │
│   15    │ 47.899  │  16.585   │  10.237  │   1.36   │
│   16    │ 48.951  │   19.73   │  11.789  │   1.36   │
│   17    │ 51.732  │  23.925   │  13.257  │  1.364   │
│   18    │ 56.513  │  23.925   │  16.435  │  1.368   │
│   19    │ 58.896  │  34.673   │  14.289  │   1.36   │
│   20    │  60.4   │  34.673   │  18.583  │  1.364   │
│   21    │ 53.363  │  19.468   │  15.025  │   1.36   │
│   22    │ 54.776  │  19.993   │  15.455  │   1.36   │
│   23    │ 52.367  │  17.633   │  15.927  │   1.36   │
│   24    │  52.67  │  17.633   │  16.373  │   1.36   │
│   25    │  53.4   │  18.158   │  17.112  │  1.364   │
│   26    │ 57.651  │  23.138   │  19.277  │  1.364   │
│   27    │ 62.222  │  29.954   │  21.532  │  1.368   │
│   28    │ 65.864  │   40.44   │  16.179  │  1.364   │
│   29    │ 72.339  │   40.44   │  17.809  │  1.368   │
│   30    │ 75.604  │   40.44   │  21.265  │  1.372   │
│   31    │ 74.318  │  57.479   │  22.711  │  1.364   │
│   32    │ 78.074  │  57.479   │  30.539  │  1.368   │
│   33    │  87.22  │  57.479   │  29.326  │  1.372   │
│   34    │ 95.838  │  60.101   │  31.486  │  1.376   │
│   35    │ 96.186  │  60.101   │  39.727  │   1.38   │
│   36    │ 100.241 │  68.751   │  27.819  │  1.364   │
│   37    │ 67.703  │  30.478   │  24.189  │   1.36   │
│   38    │ 67.916  │  34.935   │  27.164  │  1.364   │
│   39    │ 73.945  │  36.508   │  30.094  │  1.364   │
│   40    │ 75.567  │  46.731   │  26.918  │  1.364   │
│   41    │ 81.748  │  47.256   │  28.55   │  1.368   │
│   42    │ 84.886  │  47.256   │  30.746  │  1.368   │
│   43    │ 85.365  │   66.13   │  20.024  │   1.36   │
│   44    │ 85.549  │   66.13   │  24.644  │  1.364   │
│   45    │ 86.368  │   66.13   │  28.942  │  1.364   │
│   46    │ 90.051  │   66.13   │  33.058  │  1.368   │
│   47    │ 93.422  │  66.392   │  36.635  │  1.368   │
│   48    │ 79.942  │  46.207   │  29.867  │  1.368   │
│   49    │ 82.711  │  46.207   │  32.889  │  1.372   │
│   50    │ 74.617  │  38.343   │  30.56   │  1.372   │
│   51    │ 77.808  │  54.858   │  30.637  │  1.372   │
│   52    │  79.43  │  54.858   │  32.394  │  1.372   │
│   53    │ 80.589  │  54.858   │  33.708  │  1.372   │
│   54    │  81.42  │  54.858   │  34.634  │  1.372   │
│   55    │  82.19  │  54.858   │  35.493  │  1.376   │
│   56    │ 83.546  │  54.858   │  36.975  │  1.376   │
│   57    │ 85.299  │  54.858   │  38.872  │  1.376   │
│   58    │ 87.405  │   55.12   │  41.098  │  1.376   │
│   59    │ 76.816  │  39.916   │  36.769  │  1.376   │
│   60    │ 75.354  │  37.818   │  36.049  │   1.38   │
│   61    │ 76.743  │  39.653   │  37.104  │   1.38   │
│   62    │ 77.787  │  40.178   │  38.441  │  1.384   │
│   63    │ 79.241  │  41.751   │  39.884  │  1.384   │
│   64    │ 83.091  │  45.945   │  41.928  │  1.389   │
│   65    │ 83.517  │  48.042   │  16.733  │   1.36   │
│   66    │ 54.813  │  17.633   │  14.812  │   1.36   │
│   67    │ 60.215  │  26.808   │  16.716  │   1.36   │
│   68    │ 64.238  │  27.595   │  20.101  │  1.364   │
│   69    │ 67.768  │  39.391   │  18.754  │   1.36   │
│   70    │ 71.786  │  39.391   │  25.366  │  1.364   │
│   71    │ 77.558  │  39.391   │  23.865  │  1.368   │
│   72    │ 80.052  │  60.887   │  20.52   │   1.36   │
│   73    │ 80.052  │  60.887   │  27.005  │  1.364   │
│   74    │ 64.541  │  27.857   │  23.433  │  1.364   │
│   75    │ 69.362  │  34.148   │  27.151  │  1.368   │
│   76    │ 75.645  │  46.735   │  23.521  │   1.36   │
│   77    │ 75.645  │  46.735   │  26.927  │   1.36   │
│   78    │ 77.128  │  46.998   │  28.901  │   1.36   │
│   79    │ 78.475  │  46.998   │  30.276  │   1.36   │
│   80    │ 79.856  │  46.998   │  31.998  │   1.36   │
│   81    │ 70.627  │   33.89   │  30.732  │  1.364   │
│   82    │ 79.319  │  43.065   │  34.85   │  1.368   │
│   83    │ 83.378  │  55.906   │  16.866  │   1.36   │
│   84    │ 85.217  │  55.906   │  22.63   │  1.364   │
│   85    │ 64.741  │   30.74   │  20.947  │  1.364   │
│   86    │ 68.649  │  31.527   │  24.155  │  1.368   │
│   87    │ 72.221  │  43.323   │  21.599  │   1.36   │
│   88    │ 74.224  │  43.323   │  27.037  │   1.36   │
│   89    │  79.63  │  43.323   │   27.6   │  1.364   │
│   90    │ 72.364  │  46.469   │   27.8   │  1.368   │
│   91    │ 76.493  │  46.469   │  32.043  │  1.368   │
│   92    │ 81.371  │   47.78   │  31.733  │  1.372   │
│   93    │ 84.161  │   47.78   │  35.44   │  1.372   │
│   94    │ 76.231  │  46.469   │  18.662  │  1.364   │
│   95    │ 56.357  │  17.895   │  15.622  │   1.36   │
│   96    │ 57.831  │  20.517   │  16.696  │   1.36   │
│   97    │ 57.324  │  18.944   │  17.161  │  1.364   │
│   98    │ 57.913  │   19.73   │  17.903  │  1.364   │
│   99    │ 58.544  │  20.517   │  18.592  │  1.364   │
│   100   │ 59.507  │  20.779   │  19.521  │  1.364   │
│   101   │ 59.597  │  21.565   │  19.632  │  1.364   │
│   102   │ 59.937  │  21.828   │  19.985  │  1.364   │
│   103   │  60.24  │  21.828   │  20.256  │  1.364   │
│   104   │ 60.461  │  22.614   │  20.515  │  1.364   │
│   105   │ 61.198  │  22.876   │  21.272  │  1.368   │
│   106   │  61.94  │   23.4    │  21.983  │  1.368   │
│   107   │ 62.177  │  23.925   │  22.251  │  1.368   │
│   108   │ 62.599  │  24.449   │  22.674  │  1.368   │
│   109   │ 63.095  │  24.973   │  23.147  │  1.368   │
│   110   │ 63.443  │  24.973   │  23.494  │  1.368   │
│   111   │  63.48  │  25.498   │  23.526  │  1.368   │
│   112   │ 64.004  │   25.76   │  24.055  │  1.372   │
│   113   │ 64.504  │  26.022   │  24.579  │  1.372   │
│   114   │ 64.512  │  26.284   │  24.562  │  1.372   │
│   115   │ 62.079  │  23.663   │  8.002   │   1.36   │
│   116   │ 62.472  │  23.663   │  8.535   │   1.36   │
│   117   │ 61.915  │  23.663   │  8.457   │   1.36   │
│   118   │ 62.214  │  23.663   │   8.88   │   1.36   │
│   119   │ 61.833  │  23.663   │  8.912   │   1.36   │
│   120   │ 62.071  │  23.663   │  9.393   │   1.36   │
│   121   │ 62.493  │  23.663   │  9.937   │   1.36   │
